Site,Transect,Location,Latitude,Longitude
Anchor Point,1,1,59.768439,-151.867533
Anchor Point,1,2,59.768458,-151.868004
Anchor Point,1,3,59.768428,-151.868356
Anchor Point,1,4,59.768512,-151.871283
Anchor Point,1,5,59.768558,-151.873972
Anchor Point,2,1,59.77023,-151.868203
Anchor Point,2,2,59.770243,-151.868695
Anchor Point,2,3,59.770238,-151.868996
Anchor Point,2,4,59.770292,-151.87192
Anchor Point,2,5,59.770323,-151.874632
Anchor Point,3,1,59.771956,-151.86835
Anchor Point,3,2,59.771953,-151.868702
Anchor Point,3,3,59.771947,-151.869196
Anchor Point,3,4,59.772002,-151.871869
Anchor Point,3,5,59.772045,-151.874344
Plumb Bluff,1,1,59.910631,-151.762473
Plumb Bluff,1,2,59.910739,-151.762943
Plumb Bluff,1,3,59.910852,-151.763413
Plumb Bluff,1,4,59.91102,-151.764184
Plumb Bluff,1,5,59.911185,-151.764926
Plumb Bluff,2,1,59.9122,-151.761029
Plumb Bluff,2,2,59.912307,-151.761507
Plumb Bluff,2,3,59.912396,-151.761859
Plumb Bluff,2,4,59.912556,-151.762661
Plumb Bluff,2,5,59.91271,-151.763393
Plumb Bluff,3,1,59.913718,-151.75952
Plumb Bluff,3,2,59.913815,-151.759986
Plumb Bluff,3,3,59.913931,-151.760507
Plumb Bluff,3,4,59.914123,-151.761323
Plumb Bluff,3,5,59.914273,-151.762038
Ninilchik,1,1,60.049187,-151.672405
Ninilchik,1,2,60.049309,-151.672676
Ninilchik,1,3,60.049444,-151.673266
Ninilchik,1,4,60.050407,-151.676733
Ninilchik,1,5,60.051432,-151.680324
Ninilchik,2,1,60.05074,-151.670729
Ninilchik,2,2,60.050826,-151.671055
Ninilchik,2,3,60.050979,-151.671762
Ninilchik,2,4,60.051749,-151.674213
Ninilchik,2,5,60.052458,-151.676701
Ninilchik,3,1,60.052171,-151.669292
Ninilchik,3,2,60.052241,-151.669573
Ninilchik,3,3,60.05244,-151.670262
Ninilchik,3,4,60.053135,-151.672684
Ninilchik,3,5,60.053903,-151.675422