SiteID,Location,Raw Site,Latitude,Longitude,Habitat
1,Anchor Point,Anchor Point,59.77270538,-151.8691497,Sand/Gravel
2,Ninilchik,Ninilchik,60.05420713,-151.6730467,Sand/Gravel
3,Plumb Bluff,Plumb Bluff,59.91455917,-151.7601333,Sand/Gravel
4,White Sands,White Sands,57.83779433,-152.439541,Sand/Gravel
5,Pillar Creek,Pillar Creek,57.81482367,-152.424909,Sand/Gravel
6,Jakolof Bay,Jakolof Bay,59.47233,-151.51973,Sand/Gravel
7,Herring Islands,Herring Islands,59.48267,-151.51926,Sand/Gravel
8,Barabara Point,Barabara A,59.47776,-151.6170867,Sand/Gravel
9,Barabara Point,Barabara B,59.48286,-151.6334533,Sand/Gravel
10,Outside Beach,Outside Beach,59.456469,-151.712886,Sand/Gravel